"","id","values","ID","Functional","Treatmentb","STREETNAME","PlanActivi","From1","BeginningS","EndingStat","PavementWi","Length","To1","NPR","OCI","ExtendedCo","Route_ID","Inspection"
"270","270",5,"354","RT - Residential Local","SI","LINWOOD ST","(SI) 2"" Mill & Overlay Local w/ramps","FITCHBURG ST",0,1871,40,1871,"McGRATH HWY",60.85,32.24,688694.68,354,"2012/09/19"
"271","271",3,"150","RT - Residential Local","DN","CUTTER ST","Do Nothing","BROADWAY (E)",0,775,26,775,"WEBSTER ST",40.18,99.4,0,150,"2012/09/13"
"272","272",4,"155","RT - Residential Local","SI","DARTMOUTH ST","(SI) 2"" Mill & Overlay Local w/ramps","MEDFORD ST",0,1515,26.5,1515,"BROADWAY (E)",59.78,35.7,369445.94,155,"2012/09/14"
"273","273",9,"1001.13","CO - Collector","SI","BROADWAY","(SI) 3"" Mill & Overlay Art/Col w/ramps","C0LLEGE AVE",5328,6595,48,1267,"JOSEPHINE ST",69.64,43.67,663840.1,1001,"2014/11/26"
"274","274",2,"13","RE - Residential Dead End","DN","ALDRICH ST","Do Nothing","VIRGINIA ST",0,629,26,629,"DEAD END",29.56,91.43,0,13,"2012/09/19"
"275","275",6,"381.42","CO - Collector","SI","MEDFORD ST","(SI) 3"" Mill & Overlay Art/Col w/ramps","CENTRAL ST",8115,9081,38,966,"115' N OF GLENWOOD RD",73.19,32.14,400688.54,381,"2012/10/18"
"276","276",10,"386","RT - Residential Local","RM","MICHIGAN AVE","(RM) Crack Seal","BROADWAY (W)",0,524,25,524,"PENNSYLVANIA AVE",49.82,68.07,2197.9,386,"2012/09/20"
"277","277",1,"414.1","RT - Residential Local","SI","MYRTLE ST","(SI) 2"" Mill & Overlay Local w/ramps","PEARL ST",984,1472,25,488,"PERKINS ST",57.82,42.1,112267.48,414,"2012/10/05"
"278","278",7,"206","RT - Residential Local","PM","FISK AVE","(PM) Pavement Patching","LOWELL ST",0,521,14.5,521,"HINCKLEY ST",51.77,61.76,16745.83,206,"2012/10/02"
"279","279",9,"210.1","RT - Residential Local","DN","FLORENCE ST","Do Nothing","PEARL ST",910,1359,24.5,449,"PERKINS ST",40.18,99.4,0,210,"2012/09/13"
"280","280",3,"230","RE - Residential Dead End","PM","GILMAN TER","(PM) Pavement Patching","PEARL ST",0,381,27,381,"DEAD END",40.41,56.16,22802.85,230,"2012/09/24"
"281","281",2,"267","RT - Residential Local","DN","HATHORN ST","Do Nothing","BROADWAY (E)",0,385,26.5,385,"ARLINGTON ST",40.18,99.4,0,267,"2012/09/13"
"282","282",4,"298","RT - Residential Local","SI","IBBETSON ST","(SI) 2"" Mill & Overlay Local w/ramps","SOMERVILLE AVE",0,856,26.5,856,"LOWELL ST",58.33,40.42,208742.84,298,"2012/08/30"
"283","283",6,"305","RT - Residential Local","SI","IRVINGTON RD","(SI) 2"" Mill & Overlay Local w/ramps","MYSTIC VALLEY PKWY",0,717,26.5,717,"BOSTON AVE (N)",56.63,45.94,174847.1,305,"2014/11/18"
"284","284",4,"341","RE - Residential Dead End","BR","LEWIS ST","(BR) Recon/Reclaim Local w/ramps","MAGNUS AVE",0,430,26.5,430,"DEAD END",51.99,18.52,190866.08,341,"2012/06/26"
"285","285",5,"348","RT - Residential Local","RM","LINCOLN ST","(RM) Crack Seal","BROADWAY (E)",0,595,26,595,"PERKINS ST",47.51,75.6,2595.52,348,"2012/10/05"
"286","286",9,"142","RE - Residential Dead End","SI","CROSS ST EAST","(SI) 2"" Mill & Overlay Local w/ramps","BROADWAY (W)",0,703,27,703,"DEAD END",47.34,33.64,174667.38,142,"2012/09/20"
"287","287",2,"178","RT - Residential Local","PM","EDGAR TERR","(PM) Pavement Patching","EDGAR AVE",0,163,26,163,"ASH AVE",51.73,56.88,9394.26,178,"2012/10/03"
"288","288",8,"542.2","CO - Collector","RM","SUMMER ST","(RM) Crack Seal","120' E OF CEDAR ST",5351,6856,30,1505,"WILLOW AVE",62.26,70.14,7575.17,542,"2012/09/24"
"289","289",10,"542.1","CO - Collector","PM","SUMMER ST","(PM) Pavement Patching","120' E OF BELMONT ST",3690,5351,30,1661,"120' E OF CEDAR ST",62.87,68.16,110456.57,542,"2012/09/25"
"290","290",1,"542","CO - Collector","RM","SUMMER ST","(RM) Crack Seal","BOW ST",0,3690,31,3690,"120' E OF BELMONT ST",57.15,86.77,19192.1,542,"2012/09/24"
"291","291",7,"541","RE - Residential Dead End","DN","STONE PL","Do Nothing","STONE AVE",0,157,20,157,"DEAD END",30.21,89.33,0,541,"2012/09/12"
"292","292",1,"557","RT - Residential Local","PM","TENNYSON ST","(PM) Pavement Patching","PEMBROKE ST",0,959,26.5,959,"FORSTER ST",53.05,57.6,56333.21,557,"2012/09/27"
"293","293",7,"563","RT - Residential Local","SI","TOWER ST","(SI) 2"" Mill & Overlay Local w/ramps","HIGHLAND AVE",0,605,26.5,605,"CROWN ST",57.32,43.72,147534.72,563,"2012/06/25"
"294","294",4,"612","RT - Residential Local","RM","WESTWOOD RD","(RM) Crack Seal","CENTRAL ST",0,524,26.5,524,"BENTON RD",44.37,85.8,2329.76,612,"2012/06/26"
"295","295",6,"618","RT - Residential Local","SI","WHITFIELD RD","(SI) 2"" Mill & Overlay Local w/ramps","PACKARD AVE",0,738,26.5,738,"CURTIS ST",56.84,45.28,179967.86,618,"2014/11/18"
"296","296",5,"648","CO - Collector","SI","MIDDLESEX AVE","(SI) 3"" Mill & Overlay Art/Col w/ramps","MYSTIC AVE",0,723,60.5,723,"FOLEY ST",71.51,37.6,477463.1,648,"2012/11/05"
"297","297",3,"651","RT - Residential Local","SI","OXFORD ST","(SI) 2"" Mill & Overlay Local w/ramps","SCHOOL ST",0,1395,24,1395,"CENTRAL ST",59.66,36.1,308090.4,651,"2012/06/26"
"298","298",6,"98","CO - Collector","DN","CENTRAL ST","Do Nothing","SOMERVILLE AVE",0,1080,21.5,1080,"SUMMER ST",53.92,92.26,0,98,"2012/08/30"
"299","299",9,"468","RT - Residential Local","SI","PLEASANT AVE","(SI) 2"" Mill & Overlay Local w/ramps","WALNUT ST",0,586,25.5,586,"VINAL AVE",59.37,37.05,137508.53,468,"2012/08/30"
"300","300",9,"465","RT - Residential Local","SI","PINCKNEY ST","(SI) 2"" Mill & Overlay Local w/ramps","WASHINGTON ST",0,1240,26,1240,"PERKINS ST",57.37,43.54,296679.46,465,"2012/09/20"
"301","301",1,"664","RT - Residential Local","SI","PROPERZI WAY (N)","(SI) 2"" Mill & Overlay Local w/ramps","SOMERVILLE AVE",0,419,26.5,419,"TYLER ST",56.78,45.46,102176.69,664,"2012/10/27"
"302","302",10,"669","RE - Residential Dead End","DN","THORNDIKE ST (S)","Do Nothing","DEAD END",0,129,26.5,129,"KINGSTON ST",30.14,89.54,0,669,"2014/11/25"
"303","303",5,"540","RT - Residential Local","RM","STONE AVE","(RM) Crack Seal","SOMERVILLE AVE",0,739,26.5,739,"COLUMBUS AVE",44.1,86.68,3285.67,540,"2012/09/12"
"304","304",6,"539","RT - Residential Local","BR","STICKNEY AVE","(BR) Recon/Reclaim Local w/ramps","MARSHALL ST",0,502,26.5,502,"SCHOOL ST",65.63,16.7,222825.08,539,"2012/09/24"
"305","305",8,"538","RT - Residential Local","SI","STERLING ST","(SI) 2"" Mill & Overlay Local w/ramps","NORTH ST",0,875,26.5,875,"ALEWIFE BROOK PKWY",57.96,41.64,213376.62,538,"2014/11/18"
